Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Tyrese Maxey,25,PHI,PG,61,61,2334,22.7,.589,.406,.279,0.8,11.2,5.9,29.8,2.6,2.0,9.0,29.9,5.7,2.4,8.1,.167,5.3,0.5,5.8,4.6,AS,maxeyty01
2,Amen Thompson,23,HOU,PG,61,61,2261,18.3,.578,.122,.362,8.7,14.2,11.5,20.6,2.1,1.5,14.0,20.1,4.3,2.9,7.2,.153,1.2,1.0,2.1,2.3,,thompam01
3,Kevin Durant,37,HOU,SF,60,60,2199,20.8,.632,.322,.343,1.7,14.6,8.3,19.6,1.1,2.3,13.5,27.4,5.6,2.4,8.0,.174,4.0,0.0,4.0,3.3,AS,duranke01
4,Mikal Bridges,29,NYK,SF,65,65,2197,16.1,.592,.428,.101,3.4,9.9,6.6,16.6,2.1,2.5,7.6,17.6,4.2,2.8,7.0,.153,1.8,1.6,3.4,3.0,,bridgmi01
5,Toumani Camara,25,POR,PF,65,65,2183,10.6,.561,.660,.164,5.2,12.3,8.7,10.6,1.5,1.1,14.0,16.1,1.2,1.6,2.8,.061,-1.4,-0.4,-1.8,0.1,,camarto01
6,Desmond Bane,27,ORL,SG,63,63,2151,17.0,.606,.350,.267,4.0,9.6,6.8,19.4,1.4,1.2,10.9,23.4,3.8,2.0,5.9,.131,1.7,-0.3,1.3,1.8,,banede01
7,Julius Randle,31,MIN,PF,64,64,2133,19.1,.588,.297,.402,5.7,17.1,11.5,23.8,1.5,0.7,12.7,26.3,4.2,2.5,6.7,.151,1.8,-0.1,1.7,2.0,,randlju01
8,Derrick White,31,BOS,SG,62,62,2123,17.0,.526,.575,.180,3.5,10.6,7.1,23.6,1.7,4.3,9.7,22.9,3.2,2.8,6.0,.135,2.8,1.0,3.8,3.1,,whitede01
9,Scottie Barnes,24,TOR,PF,61,61,2089,19.1,.576,.203,.265,6.6,19.6,13.0,24.0,1.9,4.5,13.9,23.8,2.5,3.5,5.9,.136,1.5,2.1,3.7,3.0,AS,barnesc01
10,Jalen Brunson,29,NYK,PG,60,60,2088,20.0,.581,.373,.286,1.5,9.5,5.4,30.2,1.0,0.3,9.3,30.3,5.3,1.8,7.1,.163,4.1,-1.1,3.0,2.6,AS,brunsja01
11,Brandon Ingram,28,TOR,SF,61,61,2071,16.4,.565,.276,.268,2.6,16.5,9.5,17.7,1.1,2.2,11.3,27.3,1.0,2.5,3.5,.081,0.9,-0.5,0.4,1.3,AS,ingrabr01
12,Jamal Murray,28,DEN,PG,59,59,2061,22.4,.619,.409,.285,1.3,12.2,7.0,33.0,1.3,1.0,10.3,28.6,6.1,1.2,7.3,.171,5.8,-1.5,4.3,3.3,AS,murraja01
13,Jabari Smith Jr.,22,HOU,PF,59,59,2058,13.8,.571,.490,.219,4.9,16.7,10.9,7.2,1.1,2.5,9.0,17.7,2.8,2.5,5.2,.122,-0.4,-0.1,-0.5,0.8,,smithja05
14,Payton Pritchard,28,BOS,PG,63,48,2047,17.4,.578,.516,.131,3.0,10.7,6.9,24.2,1.2,0.3,8.3,21.2,5.0,1.9,6.9,.163,2.5,-0.4,2.1,2.1,,pritcpa01
15,Kon Knueppel,20,CHO,SF,64,63,2039,17.9,.650,.593,.214,4.4,14.3,9.4,16.9,1.1,0.7,12.5,22.4,4.8,1.7,6.5,.154,3.7,-0.5,3.2,2.7,,knuepko01
16,Dyson Daniels,22,ATL,SG,61,61,2032,14.7,.527,.143,.156,7.1,14.3,10.7,24.6,2.7,1.2,14.4,15.9,1.9,2.5,4.5,.105,-1.1,1.4,0.3,1.2,,daniedy01
17,DeMar DeRozan,36,SAC,PF,64,64,2028,17.4,.588,.156,.437,1.5,9.4,5.3,18.7,1.7,0.8,6.6,22.1,4.3,0.4,4.6,.110,0.7,-0.9,-0.2,0.9,,derozde01
18,Nickeil Alexander-Walker,27,ATL,SG,61,54,2021,15.0,.583,.527,.247,2.0,9.5,5.7,16.4,1.7,1.5,11.1,24.1,1.6,1.8,3.4,.081,0.5,-0.9,-0.4,0.8,,alexani01
19,Trey Murphy III,25,NOP,SF,57,57,2019,18.9,.615,.527,.234,3.1,14.2,8.6,16.5,2.1,0.9,9.1,23.1,4.3,1.2,5.5,.131,3.4,-0.8,2.6,2.3,,murphtr02
20,Jalen Johnson,24,ATL,SF,57,57,2005,21.1,.584,.262,.332,4.5,27.8,16.0,34.3,1.8,1.2,14.8,27.3,3.1,2.9,6.0,.143,2.9,1.3,4.2,3.1,AS,johnsja05
21,VJ Edgecombe,20,PHI,SG,57,57,2003,13.1,.535,.433,.180,4.9,12.6,8.7,16.1,2.0,1.4,11.4,19.4,1.1,1.8,3.0,.071,-0.8,-0.1,-0.9,0.5,,edgecvj01
22,Donte DiVincenzo,29,MIN,SG,64,64,1988,13.7,.585,.768,.137,3.4,12.0,7.7,18.2,2.2,1.1,11.9,16.7,2.7,2.4,5.1,.123,0.6,0.9,1.5,1.8,,divindo01
23,Jaden McDaniels,25,MIN,PF,62,62,1986,14.3,.620,.310,.236,3.8,11.1,7.5,12.5,1.6,2.8,13.2,18.2,2.6,2.3,4.9,.118,-0.6,0.5,-0.1,1.0,,mcdanja02
24,Cade Cunningham,24,DET,PG,56,56,1969,21.6,.561,.305,.330,2.8,15.0,8.9,44.1,2.0,2.6,14.4,30.9,3.8,3.2,7.0,.170,4.7,1.3,6.0,4.0,AS,cunnica01
25,Ryan Rollins,23,MIL,PG,61,55,1960,15.6,.569,.432,.141,2.7,13.6,8.2,26.0,2.3,1.3,15.1,23.8,1.0,1.7,2.7,.065,0.2,-0.3,-0.2,0.9,,rolliry01
26,Jaylen Brown,29,BOS,SF,57,57,1955,22.4,.571,.266,.322,3.7,19.1,11.5,26.1,1.5,1.2,12.5,36.3,2.9,2.7,5.6,.137,3.7,-0.2,3.5,2.7,AS,brownja02
27,Immanuel Quickley,26,TOR,PG,60,60,1950,17.0,.584,.526,.236,1.8,12.7,7.2,27.5,1.8,0.2,9.7,21.6,3.6,2.2,5.8,.143,2.1,0.3,2.4,2.2,,quickim01
28,Rudy Gobert,33,MIN,C,61,61,1924,17.8,.677,.010,.656,13.7,26.0,19.9,7.4,1.2,4.6,14.2,12.6,4.1,3.2,7.3,.182,0.1,0.9,1.0,1.5,,goberru01
29,Anthony Edwards,24,MIN,SG,54,54,1920,22.6,.621,.416,.343,2.0,13.7,8.0,17.1,1.9,2.1,10.4,31.5,4.0,2.4,6.4,.161,5.2,0.0,5.2,3.5,AS,edwaran01
30,Miles Bridges,27,CHO,PF,60,60,1904,15.7,.558,.446,.246,3.6,17.2,10.5,16.3,0.9,1.4,8.5,22.7,2.9,1.7,4.7,.118,1.1,-0.5,0.6,1.3,,bridgmi02
31,Karl-Anthony Towns,30,NYK,C,61,61,1903,21.0,.607,.309,.413,10.8,31.6,21.1,13.3,1.4,1.9,13.3,25.6,4.1,3.3,7.4,.186,2.1,0.5,2.5,2.2,AS,townska01
32,James Harden,36,2TM,PG,54,54,1894,21.2,.601,.504,.477,2.2,13.4,8.0,36.6,1.7,1.0,15.2,29.8,4.4,1.5,5.9,.150,4.7,-0.9,3.8,2.8,,hardeja01
32,James Harden,36,LAC,PG,44,44,1559,21.9,.598,.505,.485,2.1,13.4,7.9,37.2,1.8,1.0,14.8,31.3,3.6,1.3,4.9,.151,4.8,-1.0,3.8,2.3,,hardeja01
32,James Harden,36,CLE,PG,10,10,335,17.9,.623,.504,.426,2.9,13.4,8.2,33.7,0.9,1.4,17.7,23.3,0.8,0.3,1.0,.149,4.3,-0.4,3.9,0.5,,hardeja01
