GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM,HOME_PTS,HOME_FGM,HOME_FGA,HOME_FG_PCT,HOME_FG3M,HOME_FG3A,HOME_FG3_PCT,HOME_FTM,HOME_FTA,HOME_FT_PCT,HOME_OREB,HOME_DREB,HOME_REB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PLUS_MINUS,AWAY_TEAM_ID,AWAY_TEAM,AWAY_PTS,AWAY_FGM,AWAY_FGA,AWAY_FG_PCT,AWAY_FG3M,AWAY_FG3A,AWAY_FG3_PCT,AWAY_FTM,AWAY_FTA,AWAY_FT_PCT,AWAY_OREB,AWAY_DREB,AWAY_REB,AWAY_AST,AWAY_STL,AWAY_BLK,AWAY_TOV,AWAY_PF,AWAY_PLUS_MINUS,SPREAD,TOTAL,OREB_TOTAL,HOME_POSS,HOME_PACE,HOME_ORTG,HOME_DRTG,HOME_NET_RTG,HOME_EFG,HOME_TOV_RATE,HOME_OREB_RATE,HOME_DREB_RATE,HOME_FT_RATE,HOME_EXPECTED_MISSES,AWAY_POSS,AWAY_PACE,AWAY_ORTG,AWAY_DRTG,AWAY_NET_RTG,AWAY_EFG,AWAY_TOV_RATE,AWAY_OREB_RATE,AWAY_DREB_RATE,AWAY_FT_RATE,AWAY_EXPECTED_MISSES
0022300061,2023-10-24,2023-24,1610612743,DEN,119,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,12.0,1610612747,LAL,107,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,-12.0,12,226,22,98.28,97.53999999999999,121.08262108262109,110.53719008264463,10.54543099997646,0.6043956043956044,0.10253542132736763,0.225,0.717391304347826,0.0989010989010989,43.0,96.8,97.53999999999999,110.53719008264463,121.08262108262109,-10.54543099997646,0.5111111111111111,0.10018214936247724,0.2826086956521739,0.775,0.16666666666666666,49.00000000000001
0022300062,2023-10-24,2023-24,1610612744,GSW,104,36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,-4.0,1610612756,PHX,108,42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,4.0,-4,212,35,106.32,105.4,97.81790820165538,103.36906584992343,-5.551157648268045,0.40594059405940597,0.08848133848133849,0.29508196721311475,0.6458333333333334,0.21782178217821782,65.0,104.48,105.4,103.36906584992343,97.81790820165538,5.551157648268045,0.5,0.1564043463944682,0.3541666666666667,0.7049180327868853,0.1368421052631579,52.99999999999999
0022300073,2023-10-25,2023-24,1610612759,SAS,119,46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,-7.0,1610612742,DAL,126,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,7.0,-7,245,22,108.68,108.4,109.49576739050421,116.53718091009988,-7.041413519595665,0.5786516853932584,0.16145479265805573,0.20454545454545456,0.7346938775510204,0.1797752808988764,42.99999999999999,108.12,108.4,116.53718091009988,109.49576739050421,7.041413519595665,0.5505050505050505,0.09907529722589167,0.2653061224489796,0.7954545454545454,0.1717171717171717,52.00000000000001
0022300063,2023-10-25,2023-24,1610612766,CHA,116,43,86,0.5,11,37,0.297,19,26,0.731,12,39,51,34,5,3,19,21,6.0,1610612737,ATL,110,39,93,0.419,5,29,0.172,27,33,0.818,12,30,42,24,12,1,12,19,-6.0,6,226,24,104.44,105.97999999999999,111.06855610877058,102.30654761904762,8.762008489722959,0.563953488372093,0.16317416695293713,0.2857142857142857,0.7647058823529411,0.22093023255813954,43.0,107.52,105.97999999999999,102.30654761904762,111.06855610877058,-8.762008489722959,0.44623655913978494,0.10040160642570281,0.23529411764705882,0.7142857142857143,0.2903225806451613,53.99999999999999
0022300071,2023-10-25,2023-24,1610612763,MEM,104,38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,-7.0,1610612740,NOP,111,40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,7.0,-7,215,19,104.8,104.74000000000001,99.23664122137404,106.03744745892243,-6.800806237548386,0.4835164835164835,0.11524822695035461,0.16326530612244897,0.725,0.17582417582417584,52.99999999999999,104.68,104.74000000000001,106.03744745892243,99.23664122137404,6.800806237548386,0.5529411764705883,0.18153526970954356,0.275,0.8367346938775511,0.2,45.0
0022300064,2023-10-25,2023-24,1610612754,IND,143,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,23.0,1610612764,WAS,120,44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,-23.0,23,263,21,114.28,113.02000000000001,125.13125656282813,107.3729420186113,17.75831454421683,0.616822429906542,0.0965561635017702,0.22727272727272727,0.7884615384615384,0.102803738317757,51.00000000000001,111.76,113.02000000000001,107.3729420186113,125.13125656282813,-17.75831454421683,0.5052083333333334,0.1140436624307592,0.21153846153846154,0.7727272727272727,0.23958333333333334,52.00000000000001
0022300072,2023-10-25,2023-24,1610612762,UTA,114,41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,-16.0,1610612758,SAC,130,47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,11,25,16.0,-16,244,31,102.64,104.72,111.06780982073265,121.72284644194758,-10.655036621214933,0.5,0.11800404585300067,0.34782608695652173,0.7169811320754716,0.25274725274725274,50.00000000000001,106.8,104.72,121.72284644194758,111.06780982073265,10.655036621214933,0.553921568627451,0.090311986863711,0.2830188679245283,0.6521739130434783,0.16666666666666666,55.00000000000001
0022300069,2023-10-25,2023-24,1610612761,TOR,97,36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,3.0,1610612750,MIN,94,34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,-3.0,3,191,24,103.04,105.36000000000001,94.13819875776397,87.29569093610698,6.842507821656994,0.4777777777777778,0.1260806916426513,0.14814814814814814,0.7090909090909091,0.12222222222222222,54.0,107.68,105.36000000000001,87.29569093610698,94.13819875776397,-6.842507821656994,0.38,0.11319534282018111,0.2909090909090909,0.8518518518518519,0.18,65.99999999999999
0022300070,2023-10-25,2023-24,1610612741,CHI,104,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,12,16,-20.0,1610612760,OKC,124,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,15,19,20.0,-20,228,18,100.92,100.42,103.05192231470473,124.09927942353882,-21.047357108834092,0.4787234042553192,0.10533707865168539,0.2549019607843137,0.8529411764705882,0.14893617021276595,55.0,99.92,100.42,124.09927942353882,103.05192231470473,21.047357108834092,0.6646341463414634,0.14296606938619902,0.14705882352941177,0.7450980392156863,0.18292682926829268,37.0
0022300068,2023-10-25,2023-24,1610612748,MIA,103,37,92,0.402,8,22,0.364,21,26,0.808,16,32,48,22,11,3,7,18,1.0,1610612765,DET,102,41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,3,13,16,23,-1.0,1,205,33,94.44,96.02,109.06395595086829,104.50819672131149,4.555759229556799,0.44565217391304346,0.0633828323071351,0.2909090909090909,0.6530612244897959,0.22826086956521738,55.0,97.6,96.02,104.50819672131149,109.06395595086829,-4.555759229556799,0.5054347826086957,0.13961605584642234,0.3469387755102041,0.7090909090909091,0.09782608695652174,51.0
